Category (项目),Description (描述),Fall Semester ($),Spring Semester ($),Total 2025-2026 ($)
Direct Costs (直接费用),,,
Tuition,Full-time enrollment,32500,32500,65000
Student Services Fee,Activity & facility access,1800,1800,3600
Health Insurance,WAIVABLE if insured,2750,2750,5500
Housing (Room),Standard Dormitory,7200,7200,14400
Food (Board),Unlimited Meal Plan,4300,4300,8600
Direct Costs Subtotal,,48550,48550,97100
,,,,
Indirect Costs (间接费用),(Estimates),,,
Books & Supplies,Course materials,500,500,1000
Personal Expenses,"Laundry, toiletries, etc.",1250,1250,2500
Travel,Flight/Train (Avg),750,750,1500
Indirect Costs Subtotal,,2500,2500,5000
,,,,
GRAND TOTAL,Total Estimated Cost,51050,51050,102100

Family Annual Income (家庭年收入),Assets (Typical),Scholarship/Grant (Need-Based Aid),Work-Study Opportunity,Parent Contribution (Expected)
< $85000,Typical Assets,Full Ride ($102100),Included ($3500),$0
$85000 - $150000,Typical Assets,~$92000,Included ($3500),0% - 10% of Income
$150000 - $200000,Typical Assets,~$75000,Included ($3500),"$15,000 - $25,000"
> $250000,High Assets,$0 (No Aid),Not Guaranteed,Full Cost ($102100)
