player_id,player_name,team,position,age,games_played,minutes_per_game,points_per_game,fg_pct,three_pct,ft_pct,rebounds_per_game,assists_per_game,turnovers_per_game,steals_per_game,blocks_per_game,usage_rate,true_shooting_pct,player_efficiency_rating,win_shares
30,Stephen Curry,GSW,G,35,74,32.7,26.4,0.450,0.408,0.923,4.5,5.1,2.8,0.7,0.4,30.2,0.620,21.7,8.3
11,Klay Thompson,GSW,G,33,77,29.7,17.9,0.432,0.387,0.927,3.3,2.3,1.6,0.6,0.5,24.5,0.575,14.9,4.1
00,Jonathan Kuminga,GSW,F,21,74,26.3,16.1,0.529,0.321,0.746,4.8,2.2,1.8,0.7,0.5,22.0,0.592,15.8,5.4
22,Andrew Wiggins,GSW,F,28,71,27.0,13.2,0.453,0.358,0.751,4.5,1.7,1.5,0.6,0.6,19.8,0.548,12.3,3.6
23,Draymond Green,GSW,F,33,55,27.1,8.6,0.497,0.395,0.730,7.2,6.0,2.6,1.0,0.9,16.4,0.578,14.1,4.9
3,Chris Paul,GSW,G,38,58,26.4,9.2,0.441,0.371,0.827,3.9,6.8,1.5,1.2,0.1,17.5,0.564,15.6,5.1
5,Kevon Looney,GSW,C,27,74,16.9,4.0,0.623,0.000,0.625,6.3,2.3,1.1,0.6,0.6,10.2,0.602,13.2,4.3
32,Trayce Jackson-Davis,GSW,C,23,68,16.6,7.9,0.702,0.000,0.640,5.0,1.2,1.0,0.5,0.9,14.1,0.676,18.2,4.8
15,Moses Moody,GSW,G,21,66,17.5,8.1,0.462,0.360,0.785,2.6,1.3,0.9,0.6,0.3,15.0,0.579,11.8,2.2
2,Brandin Podziemski,GSW,G,20,76,26.6,9.2,0.454,0.385,0.633,5.8,3.7,1.8,0.8,0.2,17.9,0.566,13.5,4.7
